Unnamed: 0,Year,ISO_Code,Countries,Economic Freedom Summary Index,Rank,Quartile,Government consumption,data,Transfers and subsidies,data.1,Government investment,data.2,Top marginal income tax rate,data.3,Top marginal income and payroll tax rate,data.4,Top marginal tax rate,State ownership of assets,Size of Government,Judicial independence,Impartial courts,Protection of property rights,Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Legal Rights Adjustment,Legal System & Property Rights,Money growth,data.5,Standard deviation of inflation,data.6,Inflation: Most recent year,data.7, Freedom to own foreign currency bank accounts,Sound Money,Revenue from trade taxes (% of trade sector),data.8,Mean tariff rate,data.9,Standard deviation of tariff rates,data.10,Tariffs,Non-tariff trade barriers,Compliance costs of importing and exporting,Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to Trade Internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Regulatory Burden,Starting a business,Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation
,2017,ALB,Albania,7.67,30.0,1.0,8.079411764705881,12.53,7.342338391815502,10.25361810203711,8.0,15.94,9.0,23,7.0,34,8.0,6.21908439897927,7.528166911100131,2.479929129166667,3.101592162916667,4.570206205,8.333333333333334,4.166666666666667,4.387444054818173,6.616771104625381,6.824168761666667,6.215400695,0.9524,5.064906547211061,9.253087018861294,3.734564905693527,9.738780706686418,0.6530482332839562,9.601214379035952,1.99392810482024,10.0,9.648270526145916,9.64,0.54,9.28,3.6,8.099200000000002,4.752,9.006400000000001,6.007679700833334,9.40532777562155,7.706503738227442,10.0,6.306105851666667,5.384615384615384,8.296923098638176,6.662548111640075,8.34386296246688,10.0,9.146778042959427,10.0,9.715592680986475,5.566666666666666,5.365277529166667,6.399004061666668,8.0,6.299740912913362,10.0,6.938448195068894,6.267292101666667,6.666666666666666,9.72121687772095,4.050195972333333,6.031964728005166,7.175249730111819,6.652097679417433,7.768712851824268
,2017,DZA,Algeria,4.77,159.0,4.0,2.705882352941176,30.8,7.817129014432721,8.511136517031916,0.0,57.52,7.0,35,2.0,53,4.5,2.862154586032732,3.5770331906813255,4.262974261666666,4.318808913333333,4.800388415833334,4.166666666666667,5.0,4.392091659413162,6.626692153182624,6.1011203133333325,6.737383206666667,0.8333,4.726463891351255,6.989729297868523,-15.051353510657384,8.49565156694678,3.760871082633048,8.881776818076654,5.59111590961673,5.0,7.341789420722989,8.48,2.28,6.24,18.8,5.9392,10.152000000000001,6.886399999999999,4.7727127875,0.47337278106508873,2.623042784282544,0.0,3.6648287375000006,0.0,1.1062564131517565,1.590361716883919,2.7749511252916155,0.0,5.301525853120188,10.0,5.100508617706729,5.566666666666666,4.136880635833333,6.0493914291666675,6.0,7.755176153834103,3.0,5.418019147583462,3.7160587308333337,1.7777777777777772,9.315757996220228,3.7655152880000005,8.68718749579693,7.029528486030286,5.715304295776426,5.411277353688873
,2017,AGO,Angola,4.83,158.0,4.0,6.341176470588234,18.44,8.886739305768689,4.58566674782891,6.0,27.86,10.0,17,9.0,25,9.5,3.0674711922519817,6.75907739372178,1.4393939566666667,1.6638451808333334,3.3024692533333333,3.333333333333333,4.166666666666667,2.302200396601593,5.488753411982163,3.36206913,4.291196630762643,0.8095,2.9504830357747345,9.440197115934431,2.799014420327839,4.193439397103119,14.516401507242202,3.6616627718703803,31.6916861406481,5.0,5.5738248212269825,9.239999999999998,1.14,7.720000000000001,11.4,4.2543999999999995,14.364,7.071466666666667,4.927536248333333,2.514792899408284,3.7211645738708086,0.0,2.9469193303689574,3.076923076923077,0.11062564131517612,2.04482268286907,3.209363480851636,5.0,9.194715491722398,6.0,6.731571830574133,10.0,4.400584698333334,7.20760266,4.0,6.632764230751155,0.0,5.373491931514081,2.404129903333333,1.3333333333333326,8.701392778197077,1.9455404927719289,8.096956912467853,6.78292330373846,4.877379453973664,5.6608144053539595
,2017,ARG,Argentina,5.67,146.0,4.0,5.3882352941176475,21.68,6.30790190735695,14.049999999999999,6.0,29.04,7.0,35,1.0,58,4.0,6.851325685405657,5.709492577376051,3.5865658525000006,2.95928120625,4.3780144058333335,7.5,3.333333333333333,3.6328718226021586,6.85719510304923,3.7029236558333327,4.13383166,0.7857,3.976557179292169,5.011968978537125,24.940155107314375,6.023177199597518,9.942057001006205,4.859999999999999,25.7,10.0,6.47378654453366,6.66,5.01,7.26,13.7,5.89,10.275,6.603333333333333,4.634274244166667,5.15562923001268,4.894951737089674,9.99803808424697,5.358169475833332,0.7692307692307693,7.965046174692648,4.697482139918916,6.548451323647223,5.0,4.259461147594252,9.0,6.086487049198084,2.766666666666667,2.2129676733333334,3.3101507025000005,10.0,2.5172538461136824,10.0,5.134506481435614,2.4911236766666667,7.111111111111112,9.592144480798394,3.260043621166666,5.351657423994849,6.50829480527711,5.719062519835799,5.646685350156499
,2017,ARM,Armenia,7.7,27.0,1.0,7.194117647058825,15.54,7.30517711171662,10.39,8.0,15.69,5.0,36,5.0,36,5.0,9.507970035426894,7.401452958840468,4.030827680833333,4.237239659166667,5.787383318333333,5.833333333333334,5.0,5.196692523441417,9.834834213822345,5.844934781666668,7.007653713333334,1.0,5.863655469325604,8.555126572871616,7.224367135641918,9.53921054789603,1.1519736302599233,9.806089346236753,0.969553268816231,10.0,9.4751066167511,9.0,1.5,8.8,6.0,8.08,4.8,8.626666666666667,5.687823295833333,9.028408740545059,7.358116018189196,10.0,5.1083785299999995,5.384615384615384,10.0,6.830997971538461,8.203945164098581,10.0,7.787561915244909,10.0,9.26252063841497,6.666666666666667,5.7385190325,6.816813945833333,10.0,9.251725384611369,0.0,6.412287504935229,4.626967708333333,6.222222222222222,9.879538565793494,4.575152278,9.318707385929336,7.063156465433717,6.9476241042853495,7.5408107492118495
,2017,AUS,Australia,8.07,9.0,1.0,4.53529411764706,24.58,6.841961852861036,12.09,10.0,14.7,6.0,45,5.0,47,5.5,7.92205990004783,6.9598631741111845,8.682814439166666,5.689246456249999,8.161612351666667,10.0,9.166666666666666,6.025331188133625,8.172783873677684,8.616040150833332,6.790183385000001,1.0,7.922742056821627,8.954497730965155,5.227511345174229,9.268743081038602,1.828142297403493,9.610270518110957,1.94864740944522,10.0,9.45837783252868,8.713333333333335,1.93,9.5,2.5,8.309999999999999,4.225,8.841111111111111,6.67235136,8.42249189169302,7.5474216258465106,10.0,6.853331724166667,4.615384615384616,0.11062564131517612,3.8597806602888194,7.56207834931161,10.0,8.91075514874142,10.0,9.636918382913807,8.9,3.7536899250000006,5.748683214166666,10.0,7.92785491123148,10.0,7.721704675066358,3.821259538333333,9.555555555555555,9.912605544257762,7.238899866500001,8.944749093402889,8.823020720879924,8.049348386488244,8.469323814822802
,2017,AUT,Austria,7.71,26.0,1.0,3.755882352941176,27.23,3.4359673024523167,24.59,10.0,13.05,4.0,55,3.0,59,3.5,7.613009483605498,5.6609718277997985,7.682547569166665,5.563411712500001,8.179207245833332,10.0,10.0,6.220992577565259,8.100493939892425,8.4632821875,7.194909255000001,1.0,7.93387160971752,8.22476008086335,8.876199595683243,9.870810434044657,0.322973914888357,9.583746283448958,2.08126858275521,10.0,9.419829199589241,9.0,1.5,8.98,5.1,6.6952,8.261999999999999,8.225066666666667,6.5190374858333335,9.963313764923093,8.241175625378213,10.0,6.899639765833333,3.076923076923077,7.743794892062298,5.906785911606236,8.09325705091278,8.0,9.712333692916218,10.0,9.237444564305406,8.9,3.5571644708333334,2.234683036666666,6.0,10,3.0,5.615307917916667,4.174785018333333,9.333333333333334,9.238217264359312,6.418890119,7.296116367856417,8.531578232716859,7.498820055933209,7.450524179385094
,2017,AZE,Azerbaijan,6.34,116.0,3.0,6.858823529411765,16.68,7.93732970027248,8.07,0.0,77.11,9.0,25,4.0,41,6.5,2.886462387152984,4.836523123367446,5.67688624,5.861118634166667,6.321835518333333,5.0,5.833333333333334,7.252962408498236,9.863183070061472,6.170494556666667,7.2801923749999995,0.6667,5.487147345942818,9.185510541676528,4.072447291617354,5.794810525528556,10.512973686178611,7.4190217589366405,12.9048912053168,5.0,6.849835706535432,9.044468945240721,1.4332965821389194,8.2,9.0,6.688,6.688,7.977489648413573,5.961408615,8.210066944379527,7.085737779689763,10.0,6.226287285833333,4.615384615384616,1.4381333370972826,4.093268412771744,7.28912396021877,5.0,10.0,9.0,8.0,8.333333333333334,6.136535803333333,7.235649426666666,6.0,8.503450769222734,1.0,6.201494888759345,6.071594556666668,6.222222222222222,9.874286332925081,5.353532672,9.024148024058018,8.217717091618171,7.460583483248359,7.2206927906692355
,2017,BHS,Bahamas,7.25,58.0,2.0,7.0441176470588225,16.05,8.3433242506812,6.58,7.0,,10.0,0,10.0,9,10.0,,8.096860474435005,,5.9,,10.0,6.666666666666666,4.601283035283845,6.280834705563336,,,0.95,6.5225129594652,8.859969976863455,5.700150115682723,8.957214494328953,2.606963764177619,9.696358598527693,1.51820700736153,0.0,6.878385767430025,4.786666666666666,7.82,3.3599999999999994,33.2,1.899199999999999,20.252000000000002,3.3486222222222213,6.712476411666667,8.105924621633932,7.4092005166503,10.0,,0.7692307692307693,10.0,5.384615384615385,6.535609530871977,10.0,5.8681995970131515,10.0,8.622733199004385,8.9,,,8.0,6.546424852052466,10.0,8.361606213013117,,5.777777777777779,9.191893654952619,,7.982215015609707,7.791762685841382,7.685912283545372,8.223417231854292
,2017,BHR,Bahrain,7.35,50.0,2.0,5.037895675434685,22.87115470352207,8.032697547683924,7.72,10.0,14.06,10.0,0,10.0,17,10.0,1.758362896615166,6.965791223946755,6.822563011666666,6.2314009666666665,7.435712815,5.0,7.5,4.78581441757082,8.85531453434199,7.764705816666666,7.287250360000001,0.5227,5.218018976583146,9.961595769019853,-0.19202115490073446,7.772631289700334,5.568421775749164,9.72253124795498,1.3873437602251,10.0,9.364189576668792,9.48,0.78,9.040000000000001,4.8,6.409600000000001,8.976,8.309866666666668,6.712476411666667,6.4112573718358945,6.561866891751281,10.0,7.456231911666666,6.153846153846154,0.7743794892062306,4.79481918490635,7.416638185831076,10.0,2.8275013475831576,10.0,7.6091671158610525,8.333333333333334,5.687467256666667,7.695705890000001,8.0,7.029925372765121,10.0,7.791071975460853,6.084863344999999,8.0,9.706141221724975,6.5967449349999985,8.074308493337226,9.68053419566741,8.0237653651216,7.808001485481168
